timestamp;value
2025-04-28 13:27:01;277.68
2025-04-28 13:28:02;277.58
2025-04-28 13:29:01;276.98
2025-04-28 13:30:02;276.65
2025-04-28 13:31:01;275.97
2025-04-28 13:32:02;275.81
2025-04-28 13:33:01;275.87
2025-04-28 13:34:02;276.15
2025-04-28 13:35:01;276.25
2025-04-28 13:36:02;276.01
2025-04-28 13:37:01;276.07
2025-04-28 13:38:02;276.25
2025-04-28 13:39:01;276.05
2025-04-28 13:40:02;276.23
2025-04-28 13:41:01;276.45
2025-04-28 13:42:02;276.45
2025-04-28 13:43:02;276.04
2025-04-28 13:44:01;276.82
2025-04-28 13:45:02;277.30
2025-04-28 13:46:01;277.88
2025-04-28 13:47:01;277.78
2025-04-28 13:48:02;277.41
2025-04-28 13:49:01;277.44
2025-04-28 13:50:02;277.48
2025-04-28 13:51:01;277.81
2025-04-28 13:52:02;277.65
2025-04-28 13:53:02;278.23
2025-04-28 13:54:01;278.91
2025-04-28 13:55:02;278.91
2025-04-28 13:56:01;278.93
2025-04-28 13:57:02;278.99
2025-04-28 13:58:01;279.11
2025-04-28 13:59:02;279.80
2025-04-28 14:00:01;279.88
2025-04-28 14:01:02;280.64
2025-04-28 14:02:02;280.07
2025-04-28 14:03:01;280.11
2025-04-28 14:04:02;280.31
2025-04-28 14:05:01;280.46
2025-04-28 14:06:02;280.45
2025-04-28 14:07:01;280.03
2025-04-28 14:08:02;280.19
2025-04-28 14:09:01;280.64
2025-04-28 14:10:02;280.26
2025-04-28 14:11:01;279.77
2025-04-28 14:12:02;279.76
2025-04-28 14:13:02;279.81
2025-04-28 14:14:01;279.78
2025-04-28 14:15:02;281.03
2025-04-28 14:16:01;281.11
2025-04-28 14:17:02;280.96
2025-04-28 14:18:01;280.92
2025-04-28 14:19:01;281.18
2025-04-28 14:20:02;280.84
2025-04-28 14:21:01;281.39
2025-04-28 14:22:02;281.06
2025-04-28 14:23:01;280.83
2025-04-28 14:24:02;281.17
2025-04-28 14:25:01;281.76
2025-04-28 14:26:02;281.09
2025-04-28 14:27:01;281.34
2025-04-28 14:28:02;281.70
2025-04-28 14:29:02;281.44
2025-04-28 14:30:01;280.81
